,0,1,2,3,4,5,6,7,8
4507,Chevrolet,Captiva,2013,11900,165 тис. км,Чернівці ( від ),"Бензин, 2.4 л.",Автомат,True
4508,Audi,A6,2016,23500,70 тис. км,Одеса ( від ),"Бензин, 2 л.",Типтронік,True
4509,Mercedes-Benz,ML 250,2012,25500,171 тис. км,Київ ( від ),"Дизель, 2.14 л.",Автомат,False
4510,Jeep,Compass,2018,16500,87 тис. км,Львів ( від ),"Бензин, 2.4 л.",Автомат,True
4511,Lexus,NX 200t,2016,885000,79 тис. км,Одеса ( від ),"Бензин, 2 л.",Автомат,True
4512,Mitsubishi,Outlander,2007,270000,207 тис. км,Одеса ( від ),"Бензин, 3 л.",Автомат,False
4513,Toyota,Corolla,2016,370000,81 тис. км,Одеса ( від ),"Газ / Бензин, 1.6 л.",Ручна / Механіка,False
4514,Mercedes-Benz,CL 500,2001,6800,272 тис. км,Львів ( від ),"Газ / Бензин, 5 л.",Автомат,False
4515,Volkswagen,Golf VII,2015,16700,79 тис. км,Запоріжжя ( від ),"Бензин, 2 л.",Ручна / Механіка,True
4516,BMW,X3,2012,14500,250 тис. км,Умань ( від ),"Бензин, 2 л.",Автомат,True
4517,Audi,A5,2014,22555,52 тис. км,Тячів ( від ),"Бензин, 2 л.",Автомат,False
4518,BMW,320,1997,3600,190 тис. км,Тернопіль ( від ),"Бензин, 2 л.",Ручна / Механіка,True
4519,Renault,Megane,2012,9100,268 тис. км,Запоріжжя ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4520,Renault,Logan,2018,10400,95 тис. км,Київ ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4521,Jeep,Renegade,2017,15500,58 тис. км,Харків ( від ),"Газ / Бензин, 2.4 л.",Автомат,True
4522,Hyundai,Accent,2013,10000,145 тис. км,Кам'янське (Дніпродзержинськ) ( від ),"Газ / Бензин, 1.6 л.",Автомат,False
4523,Mercedes-Benz,Vito 122,2016,19999,230 тис. км,Кропивницький (Кіровоград) ( від ),"Дизель, 2.2 л.",Ручна / Механіка,False
4524,Volkswagen,Jetta,2010,9000,337 тис. км,Одеса ( від ),"Бензин, 2.5 л.",Автомат,False
4525,Honda,Accord,2015,13598,50 тис. км,Бровари ( від ),"Бензин, 2.4 л.",Автомат,True
4526,Opel,Zafira,2000,3500,285 тис. км,Хуст ( від ),"Бензин, 1.8 л.",Ручна / Механіка,False
4527,Tesla,Model 3,2018,40000,88 тис. км,Харків ( від ),Електро,Не вказано,True
4528,Hyundai,Sonata,2017,17200,112 тис. км,Одеса ( від ),"Газ, 2 л.",Автомат,False
4529,Volkswagen,Tiguan,2012,11600,195 тис. км,Івано-Франківськ ( від ),"Бензин, 2 л.",Автомат,False
4530,Ford,Escape,2014,14600,115 тис. км,Київ ( від ),"Газ / Бензин, 2.5 л.",Автомат,True
4531,Mercedes-Benz,Vito 116,2011,17000,301 тис. км,Ужгород ( від ),"Дизель, 2.1 л.",Автомат,False
4532,Kia,Sportage,2016,18300,91 тис. км,Одеса ( від ),"Дизель, 2 л.",Автомат,False
4533,Honda,Accord,2013,20500,97 тис. км,Вінниця ( від ),"Бензин, 3.5 л.",Автомат,True
4534,Volkswagen,Passat B7,2015,12950,215 тис. км,Івано-Франківськ ( від ),"Дизель, 2 л.",Не вказано,True
4535,Jeep,Compass,2019,21350,4 тис. км,Івано-Франківськ ( від ),"Дизель, 1.6 л.",Ручна / Механіка,False
4536,Porsche,Cayenne,2013,24500,221 тис. км,Тернопіль ( від ),"Бензин, 3.6 л.",Автомат,True
4537,BMW,525,2013,22000,118 тис. км,Київ ( від ),"Дизель, 2 л.",Автомат,False
4538,Lexus,GS 350,2015,25900,87 тис. км,Одеса ( від ),"Бензин, 3.5 л.",Типтронік,True
4539,Mazda,3,2006,6500,185 тис. км,Київ ( від ),"Бензин, 2 л.",Ручна / Механіка,False
4540,Ford,Focus,2013,6650,110 тис. км,Київ ( від ),"Бензин, 1 л.",Ручна / Механіка,False
4541,Ford,Fiesta,2018,7800,65 тис. км,Кременчук ( від ),"Бензин, 1.6 л.",Ручна / Механіка,True
4542,Land Rover,Discovery Sport,2016,25500,65 тис. км,Київ ( від ),"Бензин, 2 л.",Автомат,True
4543,Subaru,Forester,2005,6500,192 тис. км,Старокостянтинів ( від ),"Газ / Бензин, 2 л.",Автомат,False
4544,Daewoo,Lanos,2004,2750,127 тис. км,Дубно ( від ),"Газ / Бензин, 1.5 л.",Ручна / Механіка,False
4545,ВАЗ,2105,2002,1500,87 тис. км,Олександрія ( від ),"Газ / Бензин, 1.5 л.",Ручна / Механіка,False
4546,Hyundai,Santa FE,2015,18200,88 тис. км,Тернопіль ( від ),"Бензин, 2.4 л.",Автомат,True
4547,Toyota,Land Cruiser Prado 120,2005,17499,288 тис. км,Одеса ( від ),"Газ / Бензин, 4 л.",Автомат,False
4548,Citroen,C5,2009,7500,260 тис. км,Львів ( від ),"Газ / Бензин, 2 л.",Автомат,False
4549,Renault,Samsung,2010,6500,124 тис. км,Чернівці ( від ),"Бензин, 1.6 л.",Автомат,False
4550,Ford,Edge,2016,22800,124 тис. км,Черкаси ( від ),"Дизель, 2 л.",Типтронік,False
4551,Toyota,Land Cruiser Prado 120,2007,19000,390 тис. км,Київ ( від ),"Бензин, 4 л.",Автомат,False
4552,BMW,535 GT,2011,16300,321 тис. км,Київ ( від ),"Бензин, 3 л.",Автомат,False
4553,BMW,528,2010,16300,253 тис. км,Обухів ( від ),"Бензин, 3 л.",Автомат,True
4554,Daewoo,Lanos,2008,4500,117 тис. км,Дніпро (Дніпропетровськ) ( від ),"Газ / Бензин, 1.6 л.",Ручна / Механіка,False
4555,Opel,Astra J,2015,10300,140 тис. км,Вінниця ( від ),"Дизель, 1.6 л.",Ручна / Механіка,False
4556,Volkswagen,Bora,2001,4500,255 тис. км,Івано-Франківськ ( від ),"Газ / Бензин, 1.6 л.",Ручна / Механіка,False
4557,Toyota,Land Cruiser 200,2011,32500,214 тис. км,Кам'янське (Дніпродзержинськ) ( від ),"Дизель, 4.5 л.",Автомат,False
4558,Chevrolet,Cruze,2014,9300,76 тис. км,Львів ( від ),"Бензин, 1.8 л.",Ручна / Механіка,False
4559,Mercedes-Benz,Sprinter 313 пас.,2006,10000,430 тис. км,Ковель ( від ),"Дизель, 2.1 л.",Не вказано,False
4560,Jeep,Cherokee,2017,17600,47 тис. км,Львів ( від ),"Бензин, 3.2 л.",Автомат,True
4561,Volkswagen,Tiguan,2012,11499,166 тис. км,Київ ( від ),"Бензин, 2 л.",Автомат,True
4562,Volkswagen,Passat B6,2008,7200,184 тис. км,Ірпінь ( від ),"Бензин, 1.8 л.",Ручна / Механіка,False
4563,Hyundai,Sonata,2015,11900,95 тис. км,Київ ( від ),"Газ / Бензин, 2.4 л.",Автомат,True
4564,Skoda,Octavia A5,2009,8500,144 тис. км,Чернівці ( від ),"Бензин, 1.8 л.",Ручна / Механіка,False
4565,Renault,Kangoo пасс.,2013,8999,187 тис. км,Кам'янець-Подільський ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4566,Renault,Megane,2003,4400,194 тис. км,Славута ( від ),"Бензин, 1.4 л.",Ручна / Механіка,False
4567,BMW,X5,2006,12500,470 тис. км,Миколаїв ( від ),"Дизель, 3 л.",Автомат,False
4568,Chevrolet,Lacetti,2007,4950,253 тис. км,Київ ( від ),"Газ / Бензин, 1.8 л.",Автомат,False
4569,MINI,Cooper,2013,10600,111 тис. км,Одеса ( від ),"Бензин, 1.6 л.",Автомат,True
4570,Opel,Corsa,2004,3550,217 тис. км,Чернівці ( від ),"Бензин, 1 л.",Ручна / Механіка,False
4571,Citroen,C4,2012,9100,151 тис. км,Вінниця ( від ),"Дизель, 1.6 л.",Робот,False
4572,Volvo,XC90,2015,38400,67 тис. км,Київ ( від ),"Дизель, 2 л.",Автомат,False
4573,Dacia,Logan,2008,4300,265 тис. км,Дніпро (Дніпропетровськ) ( від ),"Газ / Бензин, 1.6 л.",Ручна / Механіка,False
4574,Skoda,Fabia,2008,4900,156 тис. км,Дніпро (Дніпропетровськ) ( від ),"Бензин, 1.2 л.",Не вказано,False
4575,Mercedes-Benz,S 63 AMG,2014,79000,105 тис. км,Одеса ( від ),"Бензин, 5.5 л.",Автомат,False
4576,Nissan,Note,2007,5550,235 тис. км,Коломия ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4577,Audi,A4 Allroad,2010,13600,224 тис. км,Ковель ( від ),"Дизель, 2 л.",Ручна / Механіка,False
4578,Audi,A6,2012,16000,187 тис. км,Чернівці ( від ),"Бензин, 2 л.",Автомат,False
4579,Opel,Corsa,2012,6399,176 тис. км,Костопіль ( від ),"Дизель, 1.3 л.",Ручна / Механіка,False
4580,Dacia,Logan,2005,4300,190 тис. км,Житомир ( від ),"Бензин, 1.4 л.",Ручна / Механіка,False
4581,Hyundai,Sonata,2016,420000,157 тис. км,Одеса ( від ),"Бензин, 2 л.",Автомат,False
4582,Toyota,Land Cruiser 200,2010,40000,180 тис. км,Київ ( від ),"Дизель, 4.5 л.",Автомат,False
4583,Mazda,6,2018,14800,42 тис. км,Одеса ( від ),"Бензин, 2.5 л.",Ручна / Механіка,True
4584,Mazda,3,2007,5300,260 тис. км,Шостка ( від ),"Газ / Бензин, 1.6 л.",Автомат,False
4585,Volkswagen,Passat B8,2016,17200,161 тис. км,Рівне ( від ),"Дизель, 2 л.",Автомат,False
4586,Ford,Focus,2017,11200,81 тис. км,Київ ( від ),"Бензин, 2 л.",Автомат,True
4587,Mercedes-Benz,C 250,2013,12800,142 тис. км,Одеса ( від ),"Бензин, 1.8 л.",Автомат,True
4588,Renault,Megane,2010,7400,120 тис. км,Полтава ( від ),"Газ / Бензин, 1.6 л.",Ручна / Механіка,False
4589,Volkswagen,Multivan,2012,19200,257 тис. км,Київ ( від ),"Дизель, 2 л.",Автомат,False
4590,Mitsubishi,ASX,2013,11900,240 тис. км,Київ ( від ),"Газ / Бензин, 2 л.",Автомат,False
4591,Ford,Transit Connect пасс.,2005,5400,213 тис. км,Київ ( від ),"Дизель, 1.8 л.",Ручна / Механіка,False
4592,Audi,A4,2013,15200,102 тис. км,Калуш ( від ),"Бензин, 2 л.",Автомат,True
4593,Kia,Sorento,2017,19000,65 тис. км,Львів ( від ),"Бензин, 3.3 л.",Автомат,True
4594,Dodge,Caliber,2008,6500,198 тис. км,Київ ( від ),"Бензин, 2 л.",Варіатор,False
4595,Jeep,Compass,2015,11500,117 тис. км,Київ ( від ),"Газ / Бензин, 2.4 л.",Автомат,True
4596,Ford,Focus,2016,8890,110 тис. км,Київ ( від ),"Бензин, 2.01 л.",Робот,True
4597,Opel,Astra H,2006,4600,210 тис. км,Івано-Франківськ ( від ),"Газ / Бензин, 1.4 л.",Ручна / Механіка,False
4598,Volkswagen,Touran,2009,7500,280 тис. км,Кременець ( від ),"Дизель, 1.9 л.",Автомат,False
4599,Volkswagen,Golf II,1987,2000,260 тис. км,Ладижин ( від ),"Газ / Бензин, 1.8 л.",Не вказано,False
4600,BMW,528,2014,18500,125 тис. км,Львів ( від ),"Бензин, 2 л.",Автомат,True
4601,Toyota,Corolla,2008,7800,170 тис. км,Дніпро (Дніпропетровськ) ( від ),"Газ / Бензин, 1.6 л.",Ручна / Механіка,False
4602,Renault,Megane Scenic,2010,7499,205 тис. км,Дубно ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4603,Volkswagen,Polo,2013,8900,79 тис. км,Дніпро (Дніпропетровськ) ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
4604,Suzuki,Grand Vitara,2005,8400,212 тис. км,Вінниця ( від ),"Газ / Бензин, 2 л.",Автомат,False
4605,Ford,Tourneo Custom,2021,54204,без пробега,Днепр (Днепропетровск) ( від ),"Дизель, 2.0 л.",Автомат,False
4606,Ford,Mustang,2015,18300,115 тис. км,Львів ( від ),"Бензин, 2.3 л.",Автомат,True
4607,Kia,Rio,2012,7300,153 тис. км,Київ ( від ),"Дизель, 1.1 л.",Ручна / Механіка,False
4608,Audi,A4,2016,22700,79 тис. км,Вінниця ( від ),"Бензин, 2 л.",Автомат,True
4609,Honda,Accord,2017,17600,80 тис. км,Вознесенськ ( від ),"Бензин, 2.4 л.",Варіатор,True
4610,BMW,525,2000,4900,398 тис. км,Хмельницький ( від ),"Дизель, 2.5 л.",Ручна / Механіка,False
4611,Hyundai,Tucson,2007,7999,267 тис. км,Вінниця ( від ),"Газ / Бензин, 2.7 л.",Автомат,False
4612,Mazda,CX-9,2018,38000,48 тис. км,Київ ( від ),"Бензин, 2.5 л.",Автомат,False
4613,Infiniti,QX50,2019,29000,60 тис. км,Харків ( від ),"Бензин, 2 л.",Автомат,True
4614,Nissan,Pathfinder,2011,15499,96 тис. км,Чернігів ( від ),"Дизель, 2.5 л.",Автомат,False
4615,Mercedes-Benz,GL 350,2011,22500,62 тис. км,Київ ( від ),"Дизель, 3 л.",Автомат,True
4616,Toyota,Camry,2019,22200,29 тис. км,Житомир ( від ),"Бензин, 2.5 л.",Автомат,True
4617,Audi,A5,2017,30000,43 тис. км,Миколаїв ( від ),"Бензин, 2 л.",Автомат,True
4618,MINI,Cooper,2004,6900,165 тис. км,Трускавець ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
4619,Kia,Cerato Koup,2011,10500,136 тис. км,Київ ( від ),"Газ / Бензин, 2 л.",Автомат,False
4620,BMW,320,2000,6100,227 тис. км,Хмельницький ( від ),"Дизель, 2 л.",Ручна / Механіка,False
4621,Suzuki,Grand Vitara XL7,2007,10000,147 тис. км,Харків ( від ),"Газ / Бензин, 3.6 л.",Автомат,False
4622,Chevrolet,Lacetti,2006,4300,153 тис. км,Вінниця ( від ),"Бензин, 1.4 л.",Ручна / Механіка,False
4623,Skoda,Octavia A5,2008,6650,246 тис. км,Чернівці ( від ),"Дизель, 1.9 л.",Ручна / Механіка,False
4624,BMW,X6,2008,19850,220 тис. км,Умань ( від ),"Бензин, 3 л.",Автомат,False
4625,Kia,Sorento,2012,13500,170 тис. км,Бровари ( від ),"Бензин, 2.4 л.",Автомат,True
4626,Renault,Laguna,2011,7600,218 тис. км,Хмельницький ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4627,Volkswagen,T6 (Transporter) пасс.,2015,15999,322 тис. км,Кременець ( від ),"Дизель, 2 л.",Ручна / Механіка,False
4628,Honda,Civic,2008,7199,146 тис. км,Одеса ( від ),"Бензин, 1.8 л.",Робот,False
4629,Volkswagen,Polo,2011,8200,110 тис. км,Суми ( від ),"Бензин, 1.4 л.",Автомат,False
4630,Toyota,Avensis,2008,7200,200 тис. км,Львів ( від ),"Дизель, 2 л.",Ручна / Механіка,False
4631,ВАЗ,2107,2006,1300,200 тис. км,Вінниця ( від ),"Бензин, 1.5 л.",Ручна / Механіка,False
4632,Hyundai,Tucson,2009,8900,158 тис. км,Бершадь ( від ),"Газ / Бензин, 2 л.",Ручна / Механіка,False
4633,Land Rover,Range Rover Sport,2015,42500,48 тис. км,Київ ( від ),"Бензин, 3 л.",Автомат,True
4634,Renault,Scenic,2007,5500,185 тис. км,Харків ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
4635,Peugeot,206,2011,5200,148 тис. км,Стрий ( від ),"Дизель, 1.4 л.",Ручна / Механіка,False
4636,Renault,Master груз.,2017,16000,269 тис. км,Луцьк ( від ),"Дизель, 2.3 л.",Ручна / Механіка,False
4637,Volkswagen,Passat B6,2006,7400,183 тис. км,Кропивницький (Кіровоград) ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
4638,Mazda,6,2008,7800,232 тис. км,Львів ( від ),"Бензин, 1.8 л.",Ручна / Механіка,False
4639,Kia,Magentis,2003,3355,360 тис. км,Київ ( від ),"Газ / Бензин, 2 л.",Ручна / Механіка,False
4640,Kia,Sorento,2016,16500,114 тис. км,Біла Церква ( від ),"Бензин, 2.4 л.",Автомат,True
4641,Mercedes-Benz,GLE 250,2016,43000,77 тис. км,Київ ( від ),"Дизель, 2.2 л.",Автомат,False
4642,Nissan,Rogue,2018,18700,49 тис. км,Одеса ( від ),"Бензин, 2.5 л.",Не вказано,True
4643,Ford,Edge,2017,18200,138 тис. км,Львів ( від ),"Бензин, 2 л.",Автомат,True
4644,Opel,Vectra C,2006,7200,193 тис. км,Запоріжжя ( від ),"Бензин, 2.2 л.",Ручна / Механіка,False
4645,Audi,A8,2004,10500,374 тис. км,Київ ( від ),"Бензин, 4.2 л.",Типтронік,False
4646,Opel,Combo пасс.,2011,6290,339 тис. км,Біла Церква ( від ),"Дизель, 1.3 л.",Ручна / Механіка,False
4647,Ford,Fiesta,2016,8000,125 тис. км,Київ ( від ),"Бензин, 1.6 л.",Автомат,True
4648,Kia,K5,2015,12800,233 тис. км,Кременчук ( від ),"Газ, 2 л.",Автомат,False
4649,Dacia,Logan,2006,4500,192 тис. км,Київ ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
4650,Mercedes-Benz,E 220,2017,41700,214 тис. км,Львів ( від ),"Дизель, 2 л.",Автомат,False
4651,Mercedes-Benz,S 500,2011,22700,176 тис. км,Київ ( від ),"Бензин, 4.7 л.",Автомат,False
4652,Honda,Prelude,1998,4000,307 тис. км,Одеса ( від ),"Газ / Бензин, 2 л.",Автомат,False
4653,Mazda,323,1988,2100,574 тис. км,Бахмут (Артемівськ) ( від ),"Бензин, 1.3 л.",Не вказано,False
4654,Kia,K5,2013,8200,355 тис. км,Київ ( від ),"Газ, 2 л.",Автомат,False
4655,Skoda,Superb,2017,22900,62 тис. км,Київ ( від ),"Бензин, 1.8 л.",Робот,False
4656,MINI,Countryman,2013,12900,116 тис. км,Житомир ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
4657,Jaguar,XF,2012,12500,69 тис. км,Лубни ( від ),"Бензин, 2 л.",Автомат,True
4658,Maserati,Ghibli,2016,41500,50 тис. км,Київ ( від ),"Бензин, 3 л.",Не вказано,True
4659,Ford,Fusion,2016,11500,102 тис. км,Київ ( від ),"Бензин, 2.5 л.",Автомат,True
4660,Hyundai,H1 пасс.,2010,11770,228 тис. км,Харків ( від ),"Дизель, 2.5 л.",Ручна / Механіка,False
4661,Hyundai,Sonata,2015,9999,438 тис. км,Київ ( від ),Газ,Автомат,False
4662,Renault,Logan,2017,8250,123 тис. км,Київ ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4663,Peugeot,508,2014,12999,91 тис. км,Харків ( від ),"Дизель, 2 л.",Автомат,False
4664,Renault,Megane,2017,12650,165 тис. км,Херсон ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4665,Volkswagen,Golf VII,2013,11200,204 тис. км,Нововолинськ ( від ),"Дизель, 1.6 л.",Ручна / Механіка,False
4666,Land Rover,Range Rover,2008,14600,245 тис. км,Одеса ( від ),"Дизель, 3.6 л.",Типтронік,False
4667,Lexus,RX 350,2014,24450,170 тис. км,Тернопіль ( від ),Бензин,Автомат,False
4668,Mercedes-Benz,E 250,2014,16900,340 тис. км,Суми ( від ),"Дизель, 2.1 л.",Автомат,False
4669,Nissan,Teana,2010,9600,96 тис. км,Одеса ( від ),"Бензин, 2.5 л.",Автомат,False
4670,Hyundai,Santa FE,2015,18200,110 тис. км,Київ ( від ),"Бензин, 2 л.",Автомат,True
4671,Subaru,Forester,2006,10900,170 тис. км,Одеса ( від ),"Бензин, 2.5 л.",Ручна / Механіка,False
4672,Kia,Sportage,2018,21500,49 тис. км,Київ ( від ),"Дизель, 1.6 л.",Робот,False
4673,ЗАЗ,Sens,2012,4100,67 тис. км,Синельникове ( від ),"Газ / Бензин, 1.3 л.",Ручна / Механіка,False
4674,ВАЗ,2110,2007,2800,180 тис. км,Полтава ( від ),Газ / Бензин,Ручна / Механіка,False
4675,Renault,Kangoo пасс.,2014,9500,97 тис. км,Дніпро (Дніпропетровськ) ( від ),1.5 л.,Не вказано,False
4676,Skoda,Octavia A5,2008,7600,185 тис. км,Кривий Ріг ( від ),"Газ / Бензин, 1.6 л.",Не вказано,False
4677,Mercedes-Benz,GLE 450,2021,94607,без пробега,Хмельницкий ( від ),"Бензин, 3.0 л.",Автомат,False
4678,Mercedes-Benz,GLE 350,2021,90245,без пробега,Хмельницкий ( від ),"Дизель, 2.9 л.",Автомат,False
4679,Mercedes-Benz,GLC 220,2021,75185,без пробега,Хмельницкий ( від ),"Дизель, 2.0 л.",Автомат,False
4680,Jaguar,E-Pace,2021,57434,без пробега,Харьков ( від ),"Дизель, 2.0 л.",Автомат,False
4681,ВАЗ,21099,2004,3299,77 тис. км,Київ ( від ),Бензин,Ручна / Механіка,False
4682,SsangYong,Kyron,2009,8500,100 тис. км,Дніпро (Дніпропетровськ) ( від ),"Дизель, 2 л.",Ручна / Механіка,False
4683,Ford,Focus,2015,8600,194 тис. км,Ужгород ( від ),"Дизель, 1.5 л.",Автомат,False
4684,Infiniti,QX60,2014,17700,141 тис. км,Київ ( від ),"Газ / Бензин, 3.5 л.",Автомат,True
4685,Jeep,Compass,2018,21800,36 тис. км,Київ ( від ),"Газ / Бензин, 2.4 л.",Автомат,True
4686,Mercedes-Benz,Sprinter пасс.,2018,43966,без пробега,Одесса ( від ),"Дизель, 2.1 л.",Автомат,False
4687,Mercedes-Benz,V-Class,2021,131194,без пробега,Одесса ( від ),"Дизель, 2.1 л.",Автомат,False
4688,Toyota,Camry,2014,13500,112 тис. км,Яготин ( від ),"Бензин, 2.5 л.",Автомат,True
4689,Volkswagen,Touran,2007,8000,120 тис. км,Київ ( від ),"Бензин, 1.4 л.",Автомат,False
4690,Mitsubishi,Pajero Sport,2020,46429,без пробега,Одесса ( від ),"Дизель, 2.4 л.",Автомат,False
4691,Jetour,X70,2021,19900,без пробега,Луцк ( від ),"Бензин, 1.5 л.",Автомат,False
4692,Renault,Kangoo пасс.,2010,6400,213 тис. км,Київ ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
4693,Land Rover,Range Rover Evoque,2021,61450,без пробега,Чубинское ( від ),"Дизель, 2.0 л.",Автомат,False
4694,Hyundai,Tucson,2021,41206,без пробега,Николаев ( від ),"Гибрид, 1.6 л.",Автомат,False
4695,Fiat,Doblo пасс.,2020,17922,без пробега,Житомир ( від ),"Дизель, 1.2 л.",Механическая,False
4696,Mercedes-Benz,GLC-Class,2021,64796,без пробега,Киев ( від ),"Дизель, 2.1 л.",Автомат,False
4697,Ford,Transit Custom,2020,38897,без пробега,Киев ( від ),"Дизель, 2.0 л.",Механическая,False
4698,Suzuki,Vitara,2021,18977,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.6 л.",Автомат,False
4699,Fiat,Tipo,2021,15601,без пробега,Черкассы ( від ),"Бензин, 1.4 л.",Механическая,False
4700,Suzuki,Vitara,2021,17407,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.6 л.",Механическая,False
4701,Renault,Sandero StepWay,2021,16497,без пробега,Черкассы ( від ),"Дизель, 1.5 л.",Механическая,False
4702,Hyundai,Tucson,2021,41206,без пробега,Тернополь ( від ),"Гибрид, 1.6 л.",Автомат,False
4703,Peugeot,3008,2020,38870,без пробега,Херсон ( від ),"Дизель, 2.0 л.",Автомат,False
4704,Renault,Sandero StepWay,2021,16485,без пробега,Черновцы ( від ),"Бензин, 0.9 л.",Роботизированная,False
4705,Volvo,V90,2020,69308,без пробега,Днепр (Днепропетровск) ( від ),"Дизель, 2.0 л.",Автомат,False
4706,Audi,Q5,2021,67879,без пробега,Одесса ( від ),"Дизель, 2.0 л.",Автомат,False
4707,Ravon,Nexia R3,2020,11275,без пробега,Полтава ( від ),"Бензин, 1.5 л.",Механическая,False
4708,Hyundai,Venue,2021,21536,без пробега,Киев ( від ),"Бензин, 1.6 л.",Автомат,False
4709,Peugeot,3008,2021,27737,без пробега,Харьков ( від ),"Дизель, 1.5 л.",Автомат,False
4710,Kia,Rio,2021,16922,без пробега,Черкассы ( від ),"Бензин, 1.4 л.",Автомат,False
4711,Citroen,C-Elysee,2020,13302,без пробега,Харьков ( від ),"Бензин, 1.2 л.",Механическая,False
4712,ГАЗ,3302 Газель,2019,19930,без пробега,Харьков ( від ),"Бензин, 2.7 л.",Механическая,False
4713,Kia,Ceed,2021,20794,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.6 л.",Автомат,False
4714,Citroen,C3,2020,14654,без пробега,Киев ( від ),"Бензин, 1.2 л.",Механическая,False
4715,Land Rover,Range Rover Sport,2020,104543,без пробега,Чубинское ( від ),"Дизель, 3.0 л.",Автомат,False
4716,Mitsubishi,Eclipse Cross,2021,33910,без пробега,Киев ( від ),"Бензин, 1.5 л.",Вариатор,False
4717,Hyundai,Tucson,2021,45626,без пробега,Житомир ( від ),"Гибрид, 1.6 л.",Автомат,False
4718,Volkswagen,Tiguan,2021,44550,без пробега,Николаев ( від ),"Бензин, 2.0 л.",Автомат,False
4719,Volkswagen,Tiguan,2021,42226,без пробега,Хмельницкий ( від ),"Бензин, 2.0 л.",Автомат,False
4720,Kia,Stonic,2020,18989,без пробега,Ровно ( від ),"Бензин, 1.4 л.",Автомат,False
4721,Volkswagen,Tiguan,2021,39600,без пробега,Николаев ( від ),"Бензин, 2.0 л.",Автомат,False
4722,Kia,Sportage,2021,23184,без пробега,Белая Церковь ( від ),"Бензин, 1.6 л.",Автомат,False
4723,Renault,Sandero StepWay,2021,15575,без пробега,Черкассы ( від ),"Дизель, 1.5 л.",Механическая,False
4724,Volkswagen,Tiguan,2021,44995,без пробега,Николаев ( від ),"Бензин, 2.0 л.",Автомат,False
4725,Volkswagen,Tiguan,2021,41787,без пробега,Киев ( від ),"Бензин, 2.0 л.",Автомат,False
4726,Renault,Arkana,2020,24613,без пробега,Николаев ( від ),"Бензин, 1.3 л.",Вариатор,False
4727,Opel,Movano груз.,2020,31628,без пробега,Днепр (Днепропетровск) ( від ),"Дизель, 2.3 л.",Механическая,False
4728,Volvo,XC60,2020,59047,без пробега,Чубинское ( від ),"Дизель, 2.0 л.",Автомат,False
4729,Hyundai,i10,2021,15349,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.2 л.",Автомат,False
4730,Mercedes-Benz,S-Class,2020,205105,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 3.0 л.",Автомат,False
4731,Kia,Sportage,2021,20920,без пробега,Одесса ( від ),"Бензин, 1.6 л.",Автомат,False
4732,Opel,Crossland X,2019,23053,без пробега,Запорожье ( від ),"Бензин, 1.2 л.",Автомат,False
4733,Honda,HR-V,2020,34563,без пробега,Киев ( від ),"Бензин, 1.5 л.",Вариатор,False
4734,Hyundai,Tucson,2021,25726,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 2.0 л.",Механическая,False
4735,Alfa Romeo,Giulietta,2020,24798,без пробега,Харьков ( від ),"Бензин, 1.4 л.",Автомат,False
4736,Subaru,Forester,2021,32074,без пробега,Киев ( від ),"Бензин, 2.0 л.",Вариатор,False
4737,Mazda,6,2021,30259,без пробега,Одесса ( від ),"Бензин, 2.5 л.",Автомат,False
4738,Nissan,X-Trail,2020,27978,без пробега,Киев ( від ),"Дизель, 1.6 л.",Вариатор,False
4739,BMW,X6,2021,103577,без пробега,Харьков ( від ),"Дизель, 3.0 л.",Автомат,False
4740,Peugeot,3008,2021,41192,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
4741,Volkswagen,Golf,2021,27500,без пробега,Хмельницкий ( від ),"Бензин, 1.4 л.",Автомат,False
4742,Volkswagen,Caddy пасс.,2021,30455,без пробега,Николаев ( від ),"Дизель, 2.0 л.",Механическая,False
4743,Ford,Puma,2020,27486,без пробега,Мукачево ( від ),"Бензин, 1.0 л.",Автомат,False
4744,Kia,XCeed,2020,23423,без пробега,Ровно ( від ),"Бензин, 1.4 л.",Автомат,False
